Product_ID,Mass,Product_Class,Product_Type,Unit_Price,Quantity sold,Branch_Id,Sales_Date,Branch_Size,Branch_Location,Branch_Type,Total sales in RWF
KLMS17,12.09,Less fat,Cheese,3922.00444,11,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,43142.04884
CHKS22,7.696,Normal,Sodas,757.82644,12,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,9093.91728
BSLS12,22.75,Less fat,Meat,2223.4026,13,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,28904.2338
DHDS18,24.96,Normal,Fruits line,2858.8915,14,S001,1/3/2019,,Nyarugenge,Simba_Branch4,40024.481
YXLS01,11.609,Less fat,kitchen items,845.62398,15,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,12684.3597
ACFS15,13.5135,Normal,Sweet Potatoes,806.99256,16,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,12911.88096
RBSS11,17.745,Normal,Fried Foods,905.24316,17,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,15389.13372
EHKS19,0,Less fat,Fried Foods,1691.86654,18,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,30453.59772
PORS20,21.06,Normal,Irish Potatoes,1522.46982,19,S015,1/3/2019,,Kicukiro,Simba_Branch1,28926.92658
CRMS15,24.96,Normal,Irish Potatoes,2948.79598,20,S010,1/3/2019,,Kicukiro,Simba_Branch1,58975.9196
KSBS40,15.34,Less fat,Fruits line,714.98114,21,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,15014.60394
BPCS04,24.05,Normal,Cheese,2262.53014,22,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,49775.66308
MNHS13,19.63,Normal,Fruits line,2284.01402,23,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,52532.32246
KSNS17,22.88,Normal,Fried Foods,1878.94774,24,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,45094.74576
JVPS09,21.255,Less fat,Fruits line,3084.14882,25,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,77103.7205
GPKS48,11.7,Normal,Clothes line,884.87398,26,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,23006.72348
VCSS42,15.34,Less fat,Hygiene,1810.98244,27,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,48896.52588
GPKS48,11.7,Normal,Clothes line,853.47398,7,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,5974.31786
LPNS55,0,Less fat,Alcohols,1778.54938,8,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,14228.39504
BVPS52,17.355,Less fat,Cheese,3619.40264,9,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,32574.62376
CVKS23,24.505,Normal,Fried Foods,3938.69668,8,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,31509.57344
MKVS12,0,Normal,Sweet Potatoes,2269.34708,9,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,20424.12372
TSMS45,18.98,Less fat,kitchen items,3085.18188,9.4,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,29000.70967
ATKS43,0,Less fat,Sweet Potatoes,1690.79266,9.8,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,16569.76807
GAJS25,18.005,Normal,Irish Potatoes,2590.8297,45,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,116587.3365
SBVS36,16.9,Less fat,kitchen items,720.7242,46,S010,1/3/2019,,Kicukiro,Simba_Branch1,33153.3132
NJGS48,9.9385,Normal,Fried Foods,664.28584,47,S005,1/3/2019,Level3,Kicukiro,Simba_Branch1,31221.43448
PCZS09,15.145,Less fat,Alcohols,614.12748,48,S003,1/3/2019,Level1,Nyarugenge,Simba_Branch1,29478.11904
BGKS04,7.7025,Normal,Cheese,714.48502,49,S001,1/3/2019,,Nyarugenge,Simba_Branch4,35009.76598
MRPS18,0,Normal,Packed Foods,685.23278,50,S011,1/3/2019,Level3,Gasabo,Simba_Branch4,34261.639
TMPS60,25.025,Less fat,Cheese,875.99092,51,S001,1/3/2019,,Nyarugenge,Simba_Branch4,44675.53692
INKS33,24.18,Less fat,Hygiene,1514.16452,52,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,78736.55504
SRPS49,24.31,Less fat,Fried Foods,4029.67504,53,S008,1/3/2019,Level2,Nyarugenge,Simba_Branch2,213572.7771
UMKS05,23.205,Less fat,Simba Breads,1462.35452,54,S015,1/3/2019,,Kicukiro,Simba_Branch1,78967.14408
IGTS18,22.75,Less fat,Sodas,2745.51866,55,S006,1/3/2019,Level3,Gasabo,Simba_Branch1,151003.5263
IPNS27,13,Less fat,Hygiene,2303.35014,56,S009,1/3/2019,Level2,Gasabo,Simba_Branch1,128987.6078
IKTS38,0,Normal,Fruits line,2010.66446,22,S007,1/3/2019,Level2,Nyarugenge,Simba_Branch3,44234.61812
